nodo,hora,pax
LineaB:1090,22,210
LineaB:1090,23,19
LineaB:1091,5,59
LineaB:1091,6,191
LineaB:1091,7,419
LineaB:1091,8,440
LineaB:1091,9,404
LineaB:1091,10,457
LineaB:1091,11,635
LineaB:1091,12,730
LineaB:1091,13,946
LineaB:1091,14,928
LineaB:1091,15,1048
LineaB:1091,16,1194
LineaB:1091,17,1424
LineaB:1091,18,1575
LineaB:1091,19,930
LineaB:1091,20,762
LineaB:1091,21,526
LineaB:1091,22,494
LineaB:1091,23,145
LineaB:1092,5,3
LineaB:1092,6,26
LineaB:1092,7,90
LineaB:1092,8,135
LineaB:1092,9,177
LineaB:1092,10,334
LineaB:1092,11,445
LineaB:1092,12,572
LineaB:1092,13,566
LineaB:1092,14,772
LineaB:1092,15,1110
LineaB:1092,16,1409
LineaB:1092,17,1807
LineaB:1092,18,1407
LineaB:1092,19,654
LineaB:1092,20,353
LineaB:1092,21,173
LineaB:1092,22,73
LineaB:1092,23,15
LineaB:1093,5,95
LineaB:1093,6,360
LineaB:1093,7,777
LineaB:1093,8,802
LineaB:1093,9,640
LineaB:1093,10,478
LineaB:1093,11,476
LineaB:1093,12,573
LineaB:1093,13,726
LineaB:1093,14,645
LineaB:1093,15,963
LineaB:1093,16,1371
LineaB:1093,17,2197
LineaB:1093,18,1838
LineaB:1093,19,752
LineaB:1093,20,400
LineaB:1093,21,277
LineaB:1093,22,148
LineaB:1093,23,21
LineaC:1094,5,1380
LineaC:1094,6,6580
LineaC:1094,7,10609
LineaC:1094,8,10408
LineaC:1094,9,7822
LineaC:1094,10,3864
LineaC:1094,11,3638
LineaC:1094,12,3185
LineaC:1094,13,3560
LineaC:1094,14,3084
LineaC:1094,15,2457
LineaC:1094,16,1881
LineaC:1094,17,2731
LineaC:1094,18,2216
LineaC:1094,19,1407
LineaC:1094,20,995
LineaC:1094,21,527
LineaC:1094,22,345
LineaC:1094,23,19
LineaC:1095,5,32
LineaC:1095,6,58
LineaC:1095,7,203
LineaC:1095,8,261
LineaC:1095,9,241
LineaC:1095,10,234
LineaC:1095,11,245
LineaC:1095,12,320
LineaC:1095,13,249
LineaC:1095,14,185
LineaC:1095,15,205
LineaC:1095,16,286
LineaC:1095,17,325
LineaC:1095,18,241
LineaC:1095,19,187
LineaC:1095,20,156
LineaC:1095,21,296
LineaC:1095,22,80
LineaC:1095,23,13
LineaC:1096,5,22
LineaC:1096,6,92
LineaC:1096,7,297
LineaC:1096,8,344
LineaC:1096,9,265
LineaC:1096,10,233
LineaC:1096,11,317
LineaC:1096,12,369
LineaC:1096,13,244
LineaC:1096,14,240
LineaC:1096,15,274
LineaC:1096,16,375
LineaC:1096,17,650
LineaC:1096,18,497
LineaC:1096,19,224
LineaC:1096,20,159
LineaC:1096,21,238
LineaC:1096,22,142
LineaC:1096,23,11
LineaC:1097,5,10
LineaC:1097,6,36
LineaC:1097,7,74
LineaC:1097,8,130
LineaC:1097,9,112
LineaC:1097,10,128
LineaC:1097,11,179
LineaC:1097,12,224
LineaC:1097,13,258
LineaC:1097,14,316
LineaC:1097,15,415
LineaC:1097,16,507
LineaC:1097,17,721
LineaC:1097,18,530
LineaC:1097,19,269
