linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente
LineaB,HPT,Alem,14,LineaB:1080,Tronador,727.1995920634912,33.274099126399534,3506.862661657143
LineaB,HPT,Alem,15,LineaB:1079,LosIncas,789.9331977692451,16.43723001703034,2812.937168720051
LineaB,HPT,Alem,16,LineaB:1078,Echeverria,573.5937379762759,3.6092141141975054,2039.4412009678363
LineaB,HPT,Alem,17,LineaB:1077,JMRosas,1469.456677105758,0.0,1469.456677105758
LineaB,HPT,JMRosas,1,LineaB:1093,Alem,3580.4565110177,0.0,3580.4565110177
LineaB,HPT,JMRosas,2,LineaB:1092,Florida,1786.376156351159,56.21433999929444,5310.618327369564
LineaB,HPT,JMRosas,3,LineaB:1091,Pellegrini,2236.877500254914,480.76169229227406,7066.734135332204
LineaB,HPT,JMRosas,4,LineaB:1090,Uruguay,1149.441794762356,160.89485731704264,8055.281072777517
LineaB,HPT,JMRosas,5,LineaB:1089,CallaoB,1065.0,237.57223779081045,8882.708834986708
LineaB,HPT,JMRosas,6,LineaB:1088,Pasteur,679.0,134.76649445404365,9426.942340532665
LineaB,HPT,JMRosas,7,LineaB:1087,Pueyr,1984.046664371471,626.1712722984113,10784.817732605725
LineaB,HPT,JMRosas,8,LineaB:1086,Gardel,519.0,802.3650235460908,10501.452709059635
LineaB,HPT,JMRosas,9,LineaB:1085,Medrano,333.0,900.9844497737744,9933.46825928586
LineaB,HPT,JMRosas,10,LineaB:1083,Gallardo,255.0,876.3555706275865,9312.112688658275
LineaB,HPT,JMRosas,11,LineaB:1084,Malabia,358.0,1285.7058700654725,8384.406818592803
LineaB,HPT,JMRosas,12,LineaB:1082,Dorrego,92.17337855471257,913.3334285876738,7563.246768559842
LineaB,HPT,JMRosas,13,LineaB:1081,Lacroze,69.42017586810701,2657.379631997732,4975.287312430218
LineaB,HPT,JMRosas,14,LineaB:1080,Tronador,50.80040793650883,413.21218123590114,4612.875539130826
LineaB,HPT,JMRosas,15,LineaB:1079,LosIncas,43.06680223075494,746.3277711348007,3909.6145702267795
