comp_origen,comp_destino,rango_horario,etapas,expandidas,expandidas_completas
LineaB:1086,LineaC:1095,18,4,5.058218183327109,5.058218183327109
LineaB:1086,LineaC:1095,19,1,1.348399100705481,1.348399100705481
LineaB:1086,LineaC:1095,20,1,1.3922966401414678,1.3922966401414678
LineaB:1086,LineaC:1097,7,2,2.446911519198665,2.446911519198665
LineaB:1086,LineaC:1097,8,2,2.414133028950918,2.414133028950918
LineaB:1086,LineaC:1097,10,1,1.252369627408403,1.252369627408403
LineaB:1086,LineaC:1097,11,2,2.5048788809280103,2.5048788809280103
LineaB:1086,LineaC:1097,12,3,3.7510233633148617,3.7510233633148617
LineaB:1086,LineaC:1097,13,5,6.281739635902449,6.281739635902449
LineaB:1086,LineaC:1097,14,4,4.996665765522213,4.996665765522213
LineaB:1086,LineaC:1097,15,2,2.50984966991012,2.50984966991012
LineaB:1086,LineaC:1097,16,3,3.775157266233074,3.775157266233074
LineaB:1086,LineaC:1097,17,1,1.253418966173874,1.253418966173874
LineaB:1086,LineaC:1097,18,4,5.058218183327109,5.058218183327109
LineaB:1086,LineaC:1097,19,2,2.696798201410962,2.696798201410962
LineaB:1086,LineaC:1097,22,1,1.4263226225251542,1.4263226225251542
LineaB:1086,LineaC:1098,6,1,1.251834862385321,1.251834862385321
LineaB:1086,LineaC:1098,7,1,1.2234557595993325,1.2234557595993325
LineaB:1086,LineaC:1098,9,3,3.6865420517666587,3.6865420517666587
LineaB:1086,LineaC:1098,10,1,1.252369627408403,1.252369627408403
LineaB:1086,LineaC:1098,11,1,1.2524394404640051,1.2524394404640051
LineaB:1086,LineaC:1098,12,1,1.250341121104954,1.250341121104954
LineaB:1086,LineaC:1098,14,2,2.4983328827611064,2.4983328827611064
LineaB:1086,LineaC:1098,15,1,1.25492483495506,1.25492483495506
LineaB:1086,LineaC:1098,16,3,3.775157266233074,2.5167715108220494
LineaB:1086,LineaC:1098,17,8,10.027351729390992,10.027351729390992
LineaB:1086,LineaC:1098,18,3,3.7936636374953316,3.7936636374953316
LineaB:1086,LineaC:1098,19,2,2.696798201410962,1.348399100705481
LineaB:1086,LineaC:1098,20,3,4.176889920424403,4.176889920424403
LineaB:1086,LineaC:1098,21,1,1.427680478428022,1.427680478428022
LineaB:1086,LineaC:1098,22,2,2.8526452450503084,2.8526452450503084
LineaB:1086,LineaC:1100,6,1,1.251834862385321,1.251834862385321
LineaB:1086,LineaC:1100,7,4,4.89382303839733,4.89382303839733
LineaB:1086,LineaC:1100,8,3,3.6211995434263775,3.6211995434263775
LineaB:1086,LineaC:1100,9,3,3.6865420517666587,3.6865420517666587
LineaB:1086,LineaC:1100,10,3,3.757108882225209,1.252369627408403
LineaB:1086,LineaC:1100,11,5,6.262197202320026,6.262197202320026
LineaB:1086,LineaC:1100,12,4,5.001364484419816,5.001364484419816
LineaB:1086,LineaC:1100,13,5,6.281739635902449,5.025391708721959
LineaB:1086,LineaC:1100,14,7,8.744165089663873,8.744165089663873
LineaB:1086,LineaC:1100,15,2,2.50984966991012,2.50984966991012
LineaB:1086,LineaC:1100,16,3,3.775157266233074,3.775157266233074
LineaB:1086,LineaC:1100,17,5,6.26709483086937,6.26709483086937
LineaB:1086,LineaC:1100,18,6,7.587327274990663,7.587327274990663
LineaB:1086,LineaC:1100,19,2,2.696798201410962,2.696798201410962
LineaB:1086,LineaC:1100,20,3,4.176889920424403,4.176889920424403
LineaB:1086,LineaC:1100,21,5,7.13840239214011,7.13840239214011
LineaB:1086,LineaC:1100,22,3,4.278967867575463,4.278967867575463
LineaB:1086,LineaC:1101,7,2,2.446911519198665,2.446911519198665
LineaB:1086,LineaC:1101,8,6,7.242399086852755,7.242399086852755
LineaB:1086,LineaC:1101,9,4,4.915389402355545,4.915389402355545
LineaB:1086,LineaC:1101,11,4,5.0097577618560205,5.0097577618560205
LineaB:1086,LineaC:1101,12,2,2.500682242209908,2.500682242209908
LineaB:1086,LineaC:1101,14,2,2.4983328827611064,2.4983328827611064
LineaB:1086,LineaC:1101,15,3,3.76477450486518,3.76477450486518
LineaB:1086,LineaC:1101,16,1,1.2583857554110247,1.2583857554110247
LineaB:1086,LineaC:1101,17,1,1.253418966173874,1.253418966173874
LineaB:1086,LineaC:1101,18,3,3.7936636374953316,3.7936636374953316
LineaB:1086,LineaC:1101,19,6,8.090394604232886,8.090394604232886
LineaB:1086,LineaC:1101,20,2,2.7845932802829356,2.7845932802829356
LineaB:1086,LineaC:1101,21,2,2.855360956856044,2.855360956856044
LineaB:1086,LineaC:1101,22,1,1.4263226225251542,0.0
