linea,cabecera,hora,n,familia,aic,ks_d,ks_p,chi2,chi2_gl,chi2_p,media_ajustada,media_obs,cv_obs
D,A,19,1736,lognormal,19364.1,0.0367449,0.0179525,80.0369,37,5.25846e-05,241.533,241.528,0.284537
D,A,20,1405,lognormal,16663.8,0.0484503,0.00263771,193.532,34,3.18805e-24,291.158,290.942,0.332434
D,A,21,1182,normal,13401,0.0828708,1.64733e-07,254.802,31,5.27964e-37,344.992,344.992,0.202919
D,A,22,1144,gamma,12407.4,0.110373,1.35946e-12,369.297,31,1.51571e-59,354.257,354.257,0.15796
D,A,23,114,lognormal,1249.76,0.116844,0.0819836,25.2632,11,0.00834124,402.766,402.956,0.155934
D,D,5,468,normal,5313.39,0.119135,3.02884e-06,144.718,21,1.76139e-20,368.906,368.906,0.190904
D,D,6,1173,gamma,12934,0.0882691,2.11245e-08,230.739,31,2.1323e-32,358.398,358.398,0.170898
D,D,7,1730,lognormal,19492.2,0.0709108,5.21308e-08,205.769,37,2.74322e-25,246.046,246.031,0.299524
D,D,8,1918,lognormal,21246.6,0.0388998,0.00586535,82.6715,39,5.64537e-05,214.255,214.735,0.338051
D,D,9,1973,lognormal,21807.4,0.0295117,0.0630655,100.838,39,2.23794e-07,209.412,209.61,0.328707
D,D,10,1832,gamma,20901.1,0.0634709,7.36541e-07,168.54,38,2.29273e-18,222.464,222.464,0.343827
D,D,11,1767,gamma,20389.6,0.0787512,5.59496e-10,244.568,37,2.05343e-32,234.078,234.078,0.355373
D,D,12,1723,gamma,19825,0.0637049,1.60058e-06,153.378,37,4.09145e-16,239.553,239.553,0.332396
D,D,13,1742,gamma,19947.6,0.0655407,5.98503e-07,164.361,37,5.55342e-18,238.452,238.452,0.328061
D,D,14,1773,gamma,20291,0.0590375,8.18175e-06,147.79,37,3.53216e-15,231.822,231.822,0.326568
D,D,15,1902,gamma,21551.6,0.0664312,9.6551e-08,210.082,38,1.09653e-25,218.277,218.277,0.330544
D,D,16,1945,gamma,22030.8,0.0589914,2.51737e-06,248.048,39,3.11558e-32,212.513,212.513,0.352402
D,D,17,2025,lognormal,22470.8,0.0321546,0.029713,92.7447,40,4.50545e-06,204.654,204.926,0.34493
D,D,18,1969,lognormal,22008.5,0.0422059,0.00174342,112.933,39,4.06835e-09,210.887,211.368,0.362632
D,D,19,1728,lognormal,19409.5,0.0880988,4.05081e-12,587.046,37,3.62382e-100,241.406,241.591,0.310959
D,D,20,1719,lognormal,18617.1,0.0884239,3.82158e-12,354.461,37,1.77134e-53,240.637,240.808,0.251913
D,D,21,1192,normal,13605.4,0.120417,1.6109e-15,698.352,32,2.52869e-126,345.414,345.414,0.210562
D,D,22,1166,gamma,13107.4,0.169621,8.49418e-30,1006.27,31,1.42567e-191,349.826,349.826,0.194105
D,D,23,681,lognormal,7887.44,0.161816,4.77672e-16,761.637,25,1.4719e-144,376.246,376.341,0.232393
E,A,5,455,gamma,5528.56,0.0653613,0.0391683,52.0593,21,0.000187304,415.213,415.213,0.263998
E,A,6,1057,lognormal,13027.4,0.0171546,0.909452,21.3851,30,0.875463,395.015,395.228,0.321629
E,A,7,1351,lognormal,15937.4,0.0260917,0.311146,67.2295,33,0.000396985,314.829,315.155,0.314721
E,A,8,1342,lognormal,15764.4,0.0285102,0.221157,41.3443,33,0.151036,314.92,314.849,0.290923
E,A,9,1351,lognormal,15946.5,0.040788,0.0217054,62.1132,33,0.00159754,314.11,314.552,0.32028
E,A,10,1353,lognormal,15792.3,0.0335726,0.0925893,54.5654,33,0.0105058,312.141,312.397,0.29211
E,A,11,1172,gamma,13774.7,0.0362214,0.0901103,53.9727,31,0.00647052,360.846,360.846,0.246802
E,A,12,1173,lognormal,13658.7,0.029696,0.247243,37.9275,31,0.182734,358.534,358.585,0.241624
E,A,13,1183,lognormal,14129.9,0.0331827,0.14447,53.6746,31,0.00696614,365.059,365.206,0.286797
E,A,14,1252,lognormal,14837.7,0.0377232,0.0552534,57.0895,32,0.00412957,338.124,338.482,0.303887
E,A,15,1341,lognormal,15671.9,0.0290733,0.203047,55.3758,33,0.00867618,313.486,313.607,0.289942
E,A,16,1348,lognormal,15706.2,0.0238676,0.419767,30.6291,33,0.585686,313.591,313.684,0.281554
E,A,17,1317,lognormal,15391.8,0.0378438,0.0448266,64.4214,33,0.000861448,317.036,317.652,0.307706
E,A,18,1335,lognormal,15498.3,0.0370644,0.0497845,43.4899,33,0.104658,315.636,315.909,0.28096
E,A,19,1324,lognormal,15490.3,0.0471181,0.00541244,68.7432,33,0.00025885,318.415,318.918,0.302611
E,A,20,949,lognormal,11578.4,0.0317887,0.286801,39.4257,29,0.0937739,433.382,433.326,0.266345
E,A,21,979,lognormal,11868.7,0.0376332,0.121791,61.5066,29,0.000399684,442.61,443.094,0.270177
E,A,22,950,lognormal,11981.7,0.0332673,0.238469,38.8337,29,0.10489,439.946,440.068,0.335926
E,D,5,368,gamma,4734.92,0.118533,5.81046e-05,79.1739,19,2.58005e-09,464.489,464.489,0.322935
E,D,6,1008,gamma,12762.6,0.0333392,0.207827,39.6825,29,0.0892628,431.124,431.124,0.326097
E,D,7,1235,lognormal,15523.3,0.0219376,0.584246,30.413,32,0.546949,344.072,344.083,0.425001
E,D,8,1327,lognormal,16485.8,0.0281868,0.237892,48.4062,33,0.0407822,317.372,318.131,0.450644
E,D,9,1359,lognormal,16830.1,0.0257454,0.323092,73.0265,33,7.45047e-05,315.924,315.864,0.430685
E,D,10,1379,lognormal,16874.6,0.0272353,0.253388,46.2379,34,0.0785637,309.49,310.026,0.410873
E,D,11,1249,lognormal,15092.8,0.0142666,0.958029,37.7614,32,0.222651,335.459,335.665,0.333899
E,D,12,1203,lognormal,14672.1,0.0384451,0.055623,59.1239,32,0.00245007,355.339,355.608,0.336066
E,D,13,1158,lognormal,14128.4,0.0204862,0.707971,32.2349,31,0.405431,366.556,366.595,0.315187
E,D,14,1176,lognormal,14470.7,0.0360231,0.0922377,39.4422,31,0.142109,359.117,359.958,0.367804
E,D,15,1323,lognormal,15820.8,0.0290521,0.209985,51.8844,33,0.0193819,319.551,320.045,0.338525
E,D,16,1334,lognormal,15827.4,0.0475774,0.00460814,71.8351,33,0.00010588,313.821,314.157,0.323013
E,D,17,1306,lognormal,15635.1,0.0345053,0.0871503,49.8162,33,0.030383,316.669,317.221,0.345598
E,D,18,1332,lognormal,16030.1,0.0321987,0.123606,62.8649,33,0.00130909,317.958,318.669,0.364709
E,D,19,1363,lognormal,16325.6,0.0434184,0.0113781,54.3118,33,0.0111476,308.66,309.114,0.357913
E,D,20,1126,lognormal,14114.2,0.0196721,0.768421,23.2362,31,0.840431,372.078,372.597,0.395569
E,D,21,956,gamma,12063.3,0.0416994,0.0699563,50.5272,29,0.00791959,440.19,440.19,0.322539
E,D,22,933,lognormal,11737.9,0.0479934,0.0263015,85.8135,28,8.81841e-08,455.314,456.416,0.340187
E,D,23,550,lognormal,7052.58,0.066376,0.014991,103.273,22,1.71999e-12,441.587,443.362,0.408613
H,A,5,642,lognormal,6567.71,0.143416,5.50555e-12,340.514,24,1.06694e-57,280.468,280.679,0.169348
H,A,6,1653,lognormal,17768.5,0.149146,1.45883e-32,1452.58,36,4.71415e-282,235.108,235.494,0.254378
H,A,7,1866,lognormal,18043.4,0.0962682,1.67126e-15,606.129,38,1.8562e-103,207.469,207.594,0.164607
H,A,8,1910,lognormal,18381.4,0.110988,6.00849e-21,996.4,39,1.28824e-183,206.041,206.152,0.161542
H,A,9,1850,lognormal,17896,0.111982,1.15853e-20,900.812,38,2.33017e-164,206.323,206.402,0.161354
H,A,10,1826,lognormal,17900.9,0.0802551,1.11891e-10,469.82,38,7.65865e-76,212.808,212.894,0.16802
H,A,11,1551,lognormal,15547.7,0.116799,6.844e-19,626.858,35,1.43395e-109,249.425,249.444,0.15118
H,A,12,1561,lognormal,16169.7,0.0736352,8.32031e-08,184.541,35,3.18137e-22,249.709,249.832,0.190297
H,A,13,1581,lognormal,15971.3,0.0792136,4.47119e-09,352.991,36,1.08687e-53,245.327,245.337,0.159371
H,A,14,1714,lognormal,17651.3,0.0516114,0.000208243,256.128,37,1.41232e-34,221.6,221.702,0.20246
H,A,15,1899,lognormal,18594,0.0673615,6.17049e-08,265.58,38,6.35906e-36,207.631,207.77,0.175812
H,A,16,1843,lognormal,18033,0.070111,2.5361e-08,264.106,38,1.20289e-35,206.635,206.712,0.168512
H,A,17,1925,lognormal,18763.6,0.0934143,4.53548e-15,540.215,39,1.84141e-89,205.734,205.869,0.174553
H,A,18,1832,lognormal,18138,0.0940844,1.45213e-14,505.537,38,4.99604e-83,205.371,205.484,0.183717
H,A,19,1708,lognormal,18102.8,0.109217,3.37402e-18,620.337,37,5.59613e-107,228.839,229.222,0.252001
H,A,20,1295,gamma,12913.1,0.190302,1.52365e-41,2341.44,33,0,293.267,293.267,0.121286
H,A,21,1388,lognormal,13612.3,0.205915,4.3381e-52,3505.12,34,0,293.53,293.561,0.1188
H,A,22,1302,lognormal,12837.5,0.21225,5.99634e-52,3226.92,33,0,295.039,295.078,0.121505
H,A,23,656,normal,7300.02,0.117107,2.70062e-08,554.802,24,6.55919e-102,320.261,320.261,0.196652
H,D,5,539,lognormal,5824.31,0.135488,4.32141e-09,265.592,22,1.07961e-43,321.157,321.228,0.176818
H,D,6,1591,lognormal,17211.5,0.132595,7.48154e-25,1348.76,36,4.70496e-260,252.894,252.965,0.226255
H,D,7,1820,lognormal,17395.7,0.177747,8.9948e-51,1631.97,38,0,207.919,208.129,0.167834
H,D,8,1924,lognormal,17834.7,0.184226,1.25953e-57,2065.96,39,0,206.569,206.685,0.140213
H,D,9,1832,lognormal,16748.3,0.162261,1.3017e-42,1649.24,38,0,206.029,206.096,0.127356
H,D,10,1927,lognormal,18206.9,0.151576,4.04844e-39,1652.5,39,0,206.404,206.527,0.154325
H,D,11,1595,gamma,15222.4,0.190884,2.27136e-51,1760.78,36,0,243.927,243.927,0.121204
H,D,12,1524,lognormal,15105.6,0.118945,3.03237e-19,551.488,35,4.05746e-94,248.116,248.215,0.154622
H,D,13,1588,lognormal,15837.5,0.138015,7.56364e-27,835.894,36,3.26484e-152,246.687,246.739,0.155326
H,D,14,1605,lognormal,16264.3,0.0868948,5.41021e-11,621.11,36,9.27406e-108,236.381,236.594,0.192818
H,D,15,1908,lognormal,18374.2,0.139347,8.78855e-33,1064.93,39,5.78187e-198,206.653,206.78,0.163445
H,D,16,1824,lognormal,17269.4,0.123713,8.6503e-25,878.089,38,1.26586e-159,206.761,206.848,0.147459
H,D,17,1933,lognormal,18703.4,0.128021,4.44822e-28,903.988,39,2.49275e-164,205.595,205.651,0.1618
H,D,18,1843,lognormal,17938.4,0.146281,6.97729e-35,1171.67,38,4.00563e-221,206.336,206.505,0.178085
H,D,19,1902,lognormal,18480.1,0.148465,4.64861e-37,1466.34,38,2.32787e-283,206.992,207.199,0.184821
H,D,20,1295,lognormal,13450.3,0.132824,2.20195e-20,794.64,33,1.0835e-145,300.086,300.151,0.153415
H,D,21,1294,lognormal,12479.1,0.142106,2.90717e-23,1722.38,33,0,293.518,293.534,0.105412
H,D,22,1291,lognormal,12923.6,0.153787,3.97437e-27,1935.03,33,0,294.07,294.15,0.134824
H,D,23,1184,lognormal,12422.2,0.192476,6.79883e-39,2975.77,31,0,308.825,308.953,0.160785
