linea,periodo,sentido_hacia,orden_llegada,nodo,estacion_sbase,suben,bajan,carga_saliente,direction_id,carga_predicha,comparable,dif
LineaD,HPM,Catedral,7,LineaD:1112,Aguero,406.0,181.13345484311404,8066.430153027722,1.0,8582.0,True,515.5698469722784
LineaD,HPM,Catedral,8,LineaD:1111,Bulnes,472.0,224.9456873086816,7841.563607870836,1.0,8290.0,True,448.43639212916423
LineaD,HPM,Catedral,9,LineaD:1110,Scal Ortiz,563.0,114.41203061389842,7594.509295179518,1.0,7985.0,True,390.4907048204823
LineaD,HPM,Catedral,10,LineaD:1109,Pitalia,445.4196030446996,72.80199597696917,7145.921325793416,1.0,7486.0,True,340.07867420658386
LineaD,HPM,Catedral,11,LineaD:1108,Palermo,886.025414827674,97.8948921229762,6773.303718725686,1.0,7001.0,True,227.69628127431406
LineaD,HPM,Catedral,12,LineaD:1107,Carranza,670.0850168130416,38.37156063472981,5985.173196020988,1.0,6352.0,True,366.82680397901186
LineaD,HPM,Catedral,13,LineaD:1106,Olleros,740.5619261771672,15.654347541496199,5353.459739842676,1.0,5751.0,True,397.54026015732416
LineaD,HPM,Catedral,14,LineaD:1105,J Hernandez,905.016024704097,22.341547161660362,4628.552161207005,1.0,5038.0,True,409.44783879299484
LineaD,HPM,Catedral,15,LineaD:1104,Juramento,977.6194318969817,8.741748232413581,3745.8776836645684,1.0,4175.0,True,429.1223163354316
LineaD,HPM,Catedral,16,LineaD:1103,CongresoTuc,2777.0,0.0,2777.0,1.0,3226.0,True,449.0
LineaD,HPM,CongresoTuc,1,LineaD:1118,Catedral,1230.0,0.0,1230.0,0.0,883.0,True,-347.0
LineaD,HPM,CongresoTuc,2,LineaD:1117,9 de julio,3361.906624058277,114.26692379304836,4477.639700265228,0.0,4443.0,True,-34.639700265228385
LineaD,HPM,CongresoTuc,3,LineaD:1116,Tribuna,169.3379908859171,444.7595163920499,4202.218174759096,0.0,4165.0,True,-37.218174759095746
LineaD,HPM,CongresoTuc,4,LineaD:1115,CallaoD,237.2838423031229,299.2378617137909,4140.264155348427,0.0,4064.0,True,-76.26415534842727
LineaD,HPM,CongresoTuc,5,LineaD:1114,FMedicina,243.0,261.6328295266561,4121.6313258217715,0.0,3939.0,True,-182.6313258217715
LineaD,HPM,CongresoTuc,6,LineaD:1113,Pueyrredon,1794.112530153178,537.996065067972,5377.747790906978,0.0,5861.0,True,483.25220909302243
LineaD,HPM,CongresoTuc,7,LineaD:1112,Aguero,182.0,415.9169749615718,5143.830815945405,0.0,5694.0,True,550.1691840545946
LineaD,HPM,CongresoTuc,8,LineaD:1111,Bulnes,172.0,492.9840815618012,4822.846734383605,0.0,5221.0,True,398.1532656163954
LineaD,HPM,CongresoTuc,9,LineaD:1110,Scal Ortiz,193.4,574.138709239051,4442.108025144553,0.0,4912.0,True,469.8919748554472
LineaD,HPM,CongresoTuc,10,LineaD:1109,Pitalia,47.58039695530039,544.0467482516159,3945.6416738482376,0.0,4540.0,True,594.3583261517624
LineaD,HPM,CongresoTuc,11,LineaD:1108,Palermo,242.9745851723259,1142.2636390565465,3046.3526199640164,0.0,3865.0,True,818.6473800359836
LineaD,HPM,CongresoTuc,12,LineaD:1107,Carranza,51.9149831869583,399.02047318887924,2699.247129962095,0.0,3318.0,True,618.7528700379048
LineaD,HPM,CongresoTuc,13,LineaD:1106,Olleros,18.43807382283285,320.808762443509,2396.876441341419,0.0,2707.0,True,310.1235586585808
LineaD,HPM,CongresoTuc,14,LineaD:1105,J Hernandez,16.77344971213235,738.8040841329765,1674.845806920575,0.0,2129.0,True,454.1541930794251
LineaD,HPM,CongresoTuc,15,LineaD:1104,Juramento,7.321641929386994,1030.5079012326444,651.6595476173175,0.0,1294.0,True,642.3404523826825
LineaD,HPM,CongresoTuc,16,LineaD:1103,CongresoTuc,0.0,651.6595476173194,-1.9326762412674725e-12,0.0,0.0,False,1.9326762412674725e-12
LineaE,HPM,RetiroE,1,LineaE:1164,RetiroE,0.0,686.5560666012714,0.0,1.0,0.0,False,0.0
LineaE,HPM,RetiroE,2,LineaE:1165,Catalinas,0.0,1514.8157246631395,686.5560666012711,1.0,663.0,True,-23.55606660127114
LineaE,HPM,RetiroE,3,LineaE:1166,CCentral,491.8559305634886,1799.7227985072896,2201.3717912644106,1.0,2269.0,True,67.6282087355894
LineaE,HPM,RetiroE,4,LineaE:1119,Bolivar,540.6538046257988,1479.9679413149966,3509.2386592082116,1.0,3359.0,True,-150.23865920821163
LineaE,HPM,RetiroE,5,LineaE:1120,Belgrano,85.0,419.81424471702593,4448.552795897409,1.0,4354.0,True,-94.55279589740894
LineaE,HPM,RetiroE,6,LineaE:1121,Independencia E,1107.474940189244,948.6310895076213,4783.367040614435,1.0,4679.0,True,-104.3670406144347
LineaE,HPM,RetiroE,7,LineaE:1122,SanJose,119.8652296584662,80.64324217345127,4624.523189932812,1.0,4333.0,True,-291.5231899328119
LineaE,HPM,RetiroE,8,LineaE:1123,ERios,194.6826646207401,185.2051591539742,4585.301202447798,1.0,4265.0,True,-320.30120244779755
LineaE,HPM,RetiroE,9,LineaE:1124,Pichin,177.5651871664989,66.07047074139024,4575.823696981031,1.0,4238.0,True,-337.8236969810314
LineaE,HPM,RetiroE,10,LineaE:1125,Jujuy,1049.340415055943,1209.4773767329048,4464.328980555923,1.0,4107.0,True,-357.3289805559234
LineaE,HPM,RetiroE,11,LineaE:1126,Urquiza,354.0754458463126,43.88398893950886,4624.465942232886,1.0,4495.0,True,-129.46594223288594
LineaE,HPM,RetiroE,12,LineaE:1127,Boedo,513.504822554426,37.49314661062527,4314.274485326082,1.0,4228.0,True,-86.27448532608196
LineaE,HPM,RetiroE,13,LineaE:1128,LaPlata,593.620628466128,15.908635812406025,3838.262809382281,1.0,3761.0,True,-77.26280938228092
LineaE,HPM,RetiroE,14,LineaE:1129,Moreno,622.45194598145,24.106123886934007,3260.550816728559,1.0,3137.0,True,-123.55081672855886
LineaE,HPM,RetiroE,15,LineaE:1130,EMitre,671.7371271352775,19.87430819087881,2662.2049946340426,1.0,2550.0,True,-112.20499463404258
LineaE,HPM,RetiroE,16,LineaE:1131,Medalla,306.6185045990937,2.282852946306182,2010.342175689644,1.0,1911.0,True,-99.34217568964391
LineaE,HPM,RetiroE,17,LineaE:1132,Varela,335.2552143983143,0.0,1706.0065240368563,1.0,1633.0,True,-73.00652403685626
LineaE,HPM,RetiroE,18,LineaE:1133,Virreyes,1370.751309638542,0.0,1370.751309638542,1.0,1320.0,True,-50.7513096385419
LineaE,HPM,Virreyes,1,LineaE:1164,RetiroE,678.8756307317651,0.0,678.8756307317651,0.0,876.0,True,197.1243692682349
LineaE,HPM,Virreyes,2,LineaE:1165,Catalinas,45.38934506434632,10.88581628731153,713.3791595088,0.0,890.0,True,176.62084049120006
LineaE,HPM,Virreyes,3,LineaE:1166,CCentral,331.8910346972614,181.99773799866085,863.2724562074004,0.0,1108.0,True,244.7275437925996
LineaE,HPM,Virreyes,4,LineaE:1119,Bolivar,105.84619537420112,233.04665458339088,736.0719969982106,0.0,990.0,True,253.92800300178942
LineaE,HPM,Virreyes,5,LineaE:1120,Belgrano,31.0,256.2458349482671,510.8261620499435,0.0,767.0,True,256.1738379500565
LineaE,HPM,Virreyes,6,LineaE:1121,Independencia E,527.6050598107561,55.1396406197382,983.2915812409615,0.0,767.0,True,-216.29158124096148
LineaE,HPM,Virreyes,7,LineaE:1122,SanJose,86.13477034153377,47.25922011047519,1022.1671314720201,0.0,778.0,True,-244.16713147202006
