periodo,origen,destino,viajes
hpm,LineaE:1164,LineaA:1075,10.0
hpm,LineaE:1164,LineaA:1076,2.0
hpm,LineaE:1164,LineaB:1084,2.0
hpm,LineaE:1164,LineaB:1083,2.0
hpm,LineaE:1164,LineaB:1086,2.0
hpm,LineaE:1164,LineaB:1089,2.0
hpm,LineaE:1164,LineaB:1091,2.0
hpm,LineaE:1164,LineaB:1092,4.0
hpm,LineaE:1164,LineaB:1093,10.0
hpm,LineaE:1164,LineaC:1097,2.0
hpm,LineaE:1164,LineaC:1098,2.0
hpm,LineaE:1164,LineaC:1099,2.0
hpm,LineaE:1164,LineaD:1118,19.0
hpm,LineaE:1164,LineaE:1133,2.0
hpm,LineaE:1164,LineaE:1132,2.0
hpm,LineaE:1164,LineaE:1131,2.0
hpm,LineaE:1164,LineaE:1130,6.0
hpm,LineaE:1164,LineaE:1128,12.0
hpm,LineaE:1164,LineaE:1127,4.0
hpm,LineaE:1164,LineaE:1126,6.0
hpm,LineaE:1164,LineaE:1125,6.0
hpm,LineaE:1164,LineaE:1124,2.0
hpm,LineaE:1164,LineaE:1123,19.0
hpm,LineaE:1164,LineaE:1122,6.0
hpm,LineaE:1164,LineaE:1121,4.0
hpm,LineaE:1164,LineaE:1120,19.0
hpm,LineaE:1164,LineaE:1119,71.0
hpm,LineaE:1164,LineaH:1135,10.0
hpm,LineaE:1164,LineaH:1136,6.0
hpm,LineaE:1164,LineaH:1138,2.0
hpm,LineaE:1164,LineaH:1139,2.0
hpm,LineaE:1164,LineaE:1166,43.0
hpm,LineaE:1164,LineaE:1165,4.0
hpt,LineaA:1059,LineaA:1060,6.0
hpt,LineaA:1059,LineaA:1061,27.0
hpt,LineaA:1059,LineaA:1062,18.0
hpt,LineaA:1059,LineaA:1063,33.0
hpt,LineaA:1059,LineaA:1064,62.0
hpt,LineaA:1059,LineaA:1065,59.0
hpt,LineaA:1059,LineaA:1066,60.0
hpt,LineaA:1059,LineaA:1067,50.0
hpt,LineaA:1059,LineaA:1068,93.0
hpt,LineaA:1059,LineaA:1069,62.0
hpt,LineaA:1059,LineaA:1070,3.0
hpt,LineaA:1059,LineaA:1071,100.0
hpt,LineaA:1059,LineaA:1072,62.0
hpt,LineaA:1059,LineaA:1073,60.0
hpt,LineaA:1059,LineaA:1074,43.0
hpt,LineaA:1059,LineaA:1075,24.0
hpt,LineaA:1059,LineaA:1076,118.0
hpt,LineaA:1059,LineaB:1077,2.0
hpt,LineaA:1059,LineaB:1078,2.0
hpt,LineaA:1059,LineaB:1081,4.0
hpt,LineaA:1059,LineaB:1084,4.0
hpt,LineaA:1059,LineaB:1083,3.0
hpt,LineaA:1059,LineaB:1085,11.0
hpt,LineaA:1059,LineaB:1086,19.0
hpt,LineaA:1059,LineaB:1087,9.0
hpt,LineaA:1059,LineaB:1088,5.0
hpt,LineaA:1059,LineaB:1089,12.0
hpt,LineaA:1059,LineaB:1090,4.0
hpt,LineaA:1059,LineaB:1091,9.0
hpt,LineaA:1059,LineaB:1092,6.0
hpt,LineaA:1059,LineaB:1093,5.0
hpt,LineaA:1059,LineaC:1094,381.0
hpt,LineaA:1059,LineaC:1095,5.0
hpt,LineaA:1059,LineaC:1096,16.0
hpt,LineaA:1059,LineaC:1097,2.0
hpt,LineaA:1059,LineaC:1098,15.0
hpt,LineaA:1059,LineaC:1100,20.0
hpt,LineaA:1059,LineaC:1101,2.0
hpt,LineaA:1059,LineaC:1102,50.0
hpt,LineaA:1059,LineaD:1103,10.0
hpt,LineaA:1059,LineaD:1104,3.0
hpt,LineaA:1059,LineaD:1105,6.0
hpt,LineaA:1059,LineaD:1107,10.0
hpt,LineaA:1059,LineaD:1108,9.0
hpt,LineaA:1059,LineaD:1109,6.0
hpt,LineaA:1059,LineaD:1110,7.0
hpt,LineaA:1059,LineaD:1111,5.0
hpt,LineaA:1059,LineaD:1112,5.0
hpt,LineaA:1059,LineaD:1113,5.0
hpt,LineaA:1059,LineaD:1114,10.0
hpt,LineaA:1059,LineaD:1115,13.0
hpt,LineaA:1059,LineaD:1116,1.0
hpt,LineaA:1059,LineaD:1118,13.0
hpt,LineaA:1059,LineaE:1132,2.0
hpt,LineaA:1059,LineaE:1130,1.0
hpt,LineaA:1059,LineaE:1129,4.0
hpt,LineaA:1059,LineaE:1128,2.0
hpt,LineaA:1059,LineaE:1127,3.0
hpt,LineaA:1059,LineaE:1126,2.0
hpt,LineaA:1059,LineaE:1124,1.0
hpt,LineaA:1059,LineaE:1123,5.0
hpt,LineaA:1059,LineaE:1122,2.0
hpt,LineaA:1059,LineaE:1121,41.0
hpt,LineaA:1059,LineaE:1120,4.0
hpt,LineaA:1059,LineaE:1119,5.0
hpt,LineaA:1059,LineaH:1134,22.0
hpt,LineaA:1059,LineaH:1135,14.0
hpt,LineaA:1059,LineaH:1136,16.0
hpt,LineaA:1059,LineaH:1137,16.0
hpt,LineaA:1059,LineaH:1138,16.0
hpt,LineaA:1059,LineaH:1139,10.0
hpt,LineaA:1059,LineaH:1140,28.0
hpt,LineaA:1059,LineaH:1141,22.0
hpt,LineaA:1059,LineaH:1160,24.0
hpt,LineaA:1059,LineaH:1161,21.0
hpt,LineaA:1059,LineaH:1162,29.0
hpt,LineaA:1059,LineaH:1163,11.0
hpt,LineaA:1059,LineaE:1166,3.0
hpt,LineaA:1059,LineaE:1165,2.0
hpt,LineaA:1059,LineaE:1164,2.0
hpt,LineaA:1060,LineaA:1059,12.0
hpt,LineaA:1060,LineaA:1061,10.0
hpt,LineaA:1060,LineaA:1062,14.0
hpt,LineaA:1060,LineaA:1063,37.0
hpt,LineaA:1060,LineaA:1064,54.0
hpt,LineaA:1060,LineaA:1065,32.0
hpt,LineaA:1060,LineaA:1066,37.0
hpt,LineaA:1060,LineaA:1067,12.0
hpt,LineaA:1060,LineaA:1068,12.0
hpt,LineaA:1060,LineaA:1069,38.0
hpt,LineaA:1060,LineaA:1070,3.0
hpt,LineaA:1060,LineaA:1071,33.0
hpt,LineaA:1060,LineaA:1072,17.0
hpt,LineaA:1060,LineaA:1073,21.0
hpt,LineaA:1060,LineaA:1074,13.0
hpt,LineaA:1060,LineaA:1075,14.0
hpt,LineaA:1060,LineaA:1076,28.0
hpt,LineaA:1060,LineaB:1077,4.0
hpt,LineaA:1060,LineaB:1078,1.0
hpt,LineaA:1060,LineaB:1081,2.0
