comp_origen,comp_destino,paso5,sbase,nombre_origen,nombre_destino
LineaA:1060,LineaD:1104,94.25332145904186,34.0,San Jose de Flores,Juramento
LineaA:1060,LineaD:1105,49.481526074544625,21.0,San Jose de Flores,Jose Hernandez
LineaA:1060,LineaD:1106,60.648064711101576,48.0,San Jose de Flores,Olleros
LineaA:1060,LineaD:1107,41.253403857803214,29.0,San Jose de Flores,Ministro Carranza
LineaA:1060,LineaD:1108,111.79666005074876,60.0,San Jose de Flores,Palermo
LineaA:1060,LineaD:1109,129.33108323071102,42.0,San Jose de Flores,Plaza Italia
LineaA:1060,LineaD:1110,102.25440787314494,30.0,San Jose de Flores,Scalabrini Ortiz
LineaA:1060,LineaD:1111,161.36646481719308,60.0,San Jose de Flores,Bulnes
LineaA:1060,LineaD:1112,63.612027855099,29.0,San Jose de Flores,Agüero
LineaA:1060,LineaD:1114,263.6305151437515,30.0,San Jose de Flores,Facultad de Medicina
LineaA:1060,LineaD:1115,309.97502169098374,64.0,San Jose de Flores,Callao [D]
LineaA:1060,LineaD:1116,330.6680784906441,88.0,San Jose de Flores,Tribunales
LineaA:1060,LineaD:1117,219.84805459084586,110.0,San Jose de Flores,9 de Julio / Carlos Pellegrini / Diagonal Norte
LineaA:1060,LineaE:1119,1696.037079779532,866.0,San Jose de Flores,Bolivar / Catedral / Peru
LineaA:1060,LineaE:1120,146.2378273473856,39.0,San Jose de Flores,Belgrano
LineaA:1060,LineaE:1121,326.6184478913343,221.0,San Jose de Flores,Independencia
LineaA:1060,LineaE:1122,88.30996546697554,12.0,San Jose de Flores,San Jose
LineaA:1060,LineaE:1123,75.24370700376251,27.0,San Jose de Flores,Entre Rios
LineaA:1060,LineaE:1124,28.910822694515886,2.0,San Jose de Flores,Pichincha
LineaA:1060,LineaE:1126,26.178156327519357,9.0,San Jose de Flores,General Urquiza
LineaA:1060,LineaE:1127,36.31448677782235,9.0,San Jose de Flores,Boedo
LineaA:1060,LineaE:1128,37.766003516412724,15.0,San Jose de Flores,La Plata
LineaA:1060,LineaE:1129,62.22759122427062,7.0,San Jose de Flores,Jose Maria Moreno
LineaA:1060,LineaE:1130,22.785257287647912,10.0,San Jose de Flores,Emilio Mitre
LineaA:1060,LineaE:1131,7.578905297654813,3.0,San Jose de Flores,Medalla Milagrosa
LineaA:1060,LineaE:1132,16.16376641220096,9.0,San Jose de Flores,Varela
LineaA:1060,LineaE:1133,22.69790269150672,0.0,San Jose de Flores,Plaza de los Virreyes
LineaA:1060,LineaE:1164,622.3084080939557,193.0,San Jose de Flores,Retiro
LineaA:1060,LineaE:1165,384.10208520179106,105.0,San Jose de Flores,Catalinas
LineaA:1060,LineaE:1166,385.37667454772054,100.0,San Jose de Flores,Correo Central / Leandro N. Alem
LineaA:1060,LineaH:1134,126.57527377240557,50.0,San Jose de Flores,Hospitales
LineaA:1060,LineaH:1135,144.11298261067205,61.0,San Jose de Flores,Parque Patricios
LineaA:1060,LineaH:1136,167.2498466552443,58.0,San Jose de Flores,Caseros
LineaA:1060,LineaH:1137,73.5039031823578,35.0,San Jose de Flores,Inclan
